 id  | initial_value | is_fixed |        description         |  count  |        weight         
  55 |             0 | f        | f_naivefeature-[_CT        |       1 |                     0
 122 |             0 | f        | f_char_1gram-»-T           |      16 |                     0
 126 |             0 | f        | f_char_1gram-Խ-T           |       1 |                     0
 123 |             0 | f        | f_char_1gram-Ё-T           |       1 |                     0
 103 |             0 | f        | f_char_1gram-ߦ-T           |       1 |                     0
 105 |             0 | f        | f_char_1gram-“-T           |      39 |                     0
  43 |             0 | f        | f_naivefeature-}_C         |      75 | -7.41203458013276e-06
  49 |             0 | f        | f_naivefeature-{_C         |       7 | -9.85060823234992e-05
 115 |             0 | f        | f_char_1gram-Ã-C           |      10 | -0.000118504645045117
 113 |             0 | f        | f_char_1gram-¹-C           |      22 | -0.000349070905142853
 116 |             0 | f        | f_char_1gram-”-T           |      39 |  -0.00125712718171101
 112 |             0 | f        | f_char_1gram-”-C           |      56 |  -0.00190850159740617
  67 |             0 | f        | f_naivefeature-?_C         |     544 |   -0.0130691272824759
  53 |             0 | f        | f_naivefeature-"_T         |    1242 |   -0.0148892811688569
 125 |             0 | f        | f_char_1gram-„-C           |     242 |    -0.019882234183563
  66 |             0 | f        | f_naivefeature-rn_T        |    3200 |   -0.0237477781342595
  68 |             0 | f        | f_naivefeature-'_T         |    2441 |   -0.0255072677953627
  47 |             0 | f        | f_naivefeature-!_C         |    1264 |   -0.0361255683115469
  50 |             0 | f        | f_naivefeature-]_C         |    1318 |   -0.0456188325526445
  62 |             0 | f        | f_naivefeature-[_C         |     825 |   -0.0486196976834382
  91 |             0 | f        | f_naivefeature-fi_C        |    7602 |   -0.0588114100901644
  80 |             0 | f        | f_naivefeature-._T         |  101820 |   -0.0614835561926799
  39 |             0 | f        | f_naivefeature-dict        |  902884 |   -0.0750305576927339
 117 |             0 | f        | f_char_1gram-’-T           |    1255 |    -0.082541928291245
  84 |             0 | f        | f_naivefeature-fl_C        |    4229 |    -0.102362120054728
  90 |             0 | f        | f_naivefeature-nn_T        |    2269 |    -0.102521749957656
  73 |             0 | f        | f_naivefeature-]_T         |    2036 |     -0.10770934404939
  76 |             0 | f        | f_naivefeature-rm_T        |    3431 |    -0.123022441540091
  82 |             0 | f        | f_naivefeature-"_C         |    3562 |     -0.14214604491594
  25 |             0 | f        | f_2gram_each-7             |  320384 |    -0.148350346840556
 109 |             0 | f        | f_char_1gram-«-C           |    4859 |    -0.174483894941767
  29 |             0 | f        | f_2gram_each-3             |  151352 |    -0.192110047760646
  27 |             0 | f        | f_2gram_each-6             |  362552 |    -0.211285538519652
  30 |             0 | f        | f_2gram_each-4             |  310076 |    -0.219330901663212
  64 |             0 | f        | f_naivefeature-upc_C       |    9885 |    -0.225970143469661
  93 |             0 | f        | f_char_1gram-»-C           |    5352 |     -0.25438484490108
  41 |             0 | f        | f_naivefeature-upp_C       |   22647 |    -0.329332816429304
  28 |             0 | f        | f_2gram_each-5             |  376268 |    -0.329780902663682
  46 |             0 | f        | f_naivefeature-,_C         |   82851 |    -0.357068023216993
  34 |             0 | f        | f_1gram_pos-               | 1387195 |    -0.532492091904322
  38 |             0 | f        | f_naivefeature--_T         |   13802 |     -0.71984993921067
  40 |             0 | f        | f_naivefeature-'_C         |   37818 |    -0.849569524662853
  61 |             0 | f        | f_naivefeature-notascii_T  |   39096 |     -1.49176533379561
  35 |             0 | f        | f_constraint-              |  701616 |       -5.965945097312
(128 rows)

